PIVlab, ASCII chart output - 11-Jun-2024
FRAME: 27, filenames: A:[27]MAX_Pos001_1202204_TgUtrmcherry_K4K8MO.avi & B:[28]MAX_Pos001_1202204_TgUtrmcherry_K4K8MO.avi, conversion factor xy (px -> m): 1, conversion factor uv (px/frame -> m/s): 1
x [px],y [px],u [px/frame],v [px/frame],Vector type [-]
271,1089,-0.06311804056,-0.1055274308,1
271,1121,0.3601068258,-0.2030212432,1
271,1153,0.555809617,-0.3243522048,1
271,1185,0.2308319807,0.2906592786,1
271,1217,0.3007651567,0.8645279408,1
271,1249,-0.008023381233,1.045018673,1
271,1281,-1.117443085,1.661608219,1
271,1313,-1.112824559,1.277397633,1
271,1345,-0.2385623455,0.4369126558,1
271,1377,-1.1267097,-0.02894109488,1
271,1409,-1.594204783,-0.6309709549,1
271,1441,-1.628817558,-0.2890275419,1
271,1473,-2.244032383,0.3133696914,1
271,1505,-0.9932095408,0.6484137177,1
271,1537,-0.6106811762,0.6777356267,1
271,1569,-0.4818959534,0.2685715556,1
271,1601,-0.1178436056,0.3789872229,1
271,1633,0.164873898,0.4260838032,1
271,1665,-0.2210201919,-0.07494491339,1
271,1697,-0.3830524981,0.06135213375,1
271,1729,0.2846113741,0.671648562,1
271,1761,0.7428822517,0.8439270258,1
271,1793,0.6549736857,0.4087635279,1
271,1825,0.3437798023,0.7239146233,1
271,1857,0.2694848776,0.7626018524,1
271,1889,0.1835590601,0.1554822326,1
271,1921,0.2388346791,-0.1676285416,1
271,1953,0.02731456794,0.07395099103,1
271,1985,2.659857273e-06,-0.06001441926,1
271,2017,0.2981457114,-0.07240122557,1
303,33,0.02793696523,0.3251984119,1
303,65,-0.2572482228,0.6409175396,1
303,97,-0.2036170512,-0.04297552258,1
303,129,-0.2649254501,0.03113132715,1
303,161,-0.2378020287,-0.01325156912,1
303,193,0.1542752832,0.05724558607,1
303,225,0.3406521678,-0.01590847969,1
303,257,0.1173704565,-0.1902756989,1
303,289,-0.1239756644,-0.168686837,1
303,321,-0.1231288016,0.0325685367,1
303,353,0.1589609236,0.0749829933,1
303,385,0.5282481313,0.02906999737,1
303,417,0.326466769,-0.1656864583,1
303,449,-0.4455992877,-0.7987212539,1
303,481,-13.72337627,-2.748805046,1
303,513,-0.002400770783,-0.5086705089,1
303,545,-0.1605944932,-0.2284023464,1
303,577,-0.2066605836,-0.1867554188,1
303,609,0.1959968656,-0.1840765476,1
303,641,-0.08946526051,-0.4320878386,1
303,673,-0.05368316174,-0.5031448603,1
303,705,18.26748848,5.746076584,1
303,737,-0.6587684751,-0.7955302596,1
303,769,-0.6569341421,-1.01766026,1
303,801,-0.378438592,-1.007567644,1
303,833,-0.7561369538,-0.2595108747,1
303,865,-0.3441283405,0.5117967129,1
303,897,1.325278044,1.143335104,1
303,929,-13.67820168,-5.724418163,1
303,961,1.22611022,1.361994267,1
303,993,0.7329246998,1.337716341,1
303,1025,0.1352427006,0.4673492312,1
303,1057,0.1868346035,-0.1006875038,1
303,1089,0.5104858875,-0.6391845942,1
303,1121,0.4632675052,-0.7449930906,1
303,1153,0.1760418117,-0.6179521084,1
303,1185,-0.2258903533,0.3365519047,1
303,1217,-0.2392967343,1.057950974,1
303,1249,-0.3643110394,0.8183123469,1
303,1281,-0.9032974243,1.272720575,1
303,1313,-1.909351587,2.558952808,1
303,1345,-2.407791615,0.6532223821,1
303,1377,-1.715315461,-1.464856982,1
303,1409,-1.908975005,-2.342090845,1
303,1441,-1.50132978,-1.470272064,1
303,1473,-1.336684227,0.5660712719,1
303,1505,-0.4656650424,0.8835372925,1
303,1537,-0.2655628026,0.7997987866,1
303,1569,-0.02851271629,0.473752141,1
303,1601,0.2805689871,0.9279616475,1
303,1633,-0.009274765849,0.8684694767,1
303,1665,-0.2003562152,0.2141896486,1
303,1697,0.1232359409,0.3086751997,1
303,1729,0.5514885187,1.357564092,1
303,1761,0.4721994996,1.497751951,1
303,1793,0.4846412241,0.9457825422,1
303,1825,0.4004150629,0.563798964,1
303,1857,0.4182703495,0.415219605,1
303,1889,0.439532727,0.3326163888,1
303,1921,0.02687591314,0.004480302334,1
303,1953,-0.09607151896,0.00512753427,1
303,1985,-0.08258080482,0.03466003016,1
303,2017,0.02795320749,-0.03792075813,1
335,33,0.556232512,0.2910267711,1
335,65,9.601020813,4.159085751,1
335,97,8.436938286,11.21070957,1
335,129,-0.08411370963,0.04707463086,1
335,161,0.2513244748,-0.1414816678,1
335,193,0.4826970696,-0.222727105,1
335,225,0.4404455423,-0.191481635,1
335,257,0.3399362564,-0.2171327174,1
335,289,0.2140041292,-0.1495862007,1
335,321,0.08913034201,0.04454669356,1
335,353,0.03799673915,0.4413119555,1
335,385,0.6513317823,0.5275362134,1
335,417,0.8507955074,0.05617263913,1
335,449,0.8648356795,-0.4915798903,1
335,481,-0.01760947704,-1.183584809,1
335,513,-0.1994750798,-0.6889002323,1
335,545,-0.1188348904,-0.4268647432,1
335,577,-0.04035592824,-0.7323772907,1
335,609,0.1426469982,-0.2158277035,1
335,641,-0.1728334725,-0.6192541122,1
335,673,-0.1485657096,-0.8717085719,1
335,705,-0.2503568828,-1.15409565,1
335,737,-0.5239309072,-1.365080833,1
335,769,-0.2409635186,-1.49285233,1
335,801,0.05879227817,-1.414507866,1
335,833,-0.4843676388,-0.8587105274,1
335,865,-0.4993578196,-0.2036572695,1
335,897,0.5529201031,1.314943671,1
335,929,1.425247908,2.809132338,1
335,961,1.13297987,2.123046875,1
335,993,0.9835267663,1.937972188,1
335,1025,0.9793086052,0.4038576484,1
335,1057,0.8224631548,-0.5865346193,1
335,1089,0.2783905864,-1.228291988,1
335,1121,0.02445469797,-1.360812068,1
335,1153,0.07057145238,-1.067506433,1
335,1185,-0.1028116941,0.03111448884,1
335,1217,-0.07890146971,0.7364850044,1
335,1249,-0.4941990972,0.5413047671,1
335,1281,-0.9573891163,0.1845766902,1
335,1313,-3.380655527,1.00436008,1
335,1345,-3.2163589,-0.5815293193,1
335,1377,-2.543432951,-2.125921726,1
