PIVlab, ASCII chart output - 06-Feb-2024
FRAME: 60, filenames: A:[60]MAX_TimeSrs018_TgUtrmcherry_Controll.avi & B:[61]MAX_TimeSrs018_TgUtrmcherry_Controll.avi, conversion factor xy (px -> m): 1, conversion factor uv (px/frame -> m/s): 1
x [px],y [px],u [px/frame],v [px/frame],Vector type [-]
335,1665,-0.5273230076,-2.298033714,1
335,1697,-0.1642022282,-1.194405556,1
335,1729,0.5116854906,-1.002464771,1
335,1761,1.780580878,-1.302069068,1
335,1793,3.581865311,-0.7660996914,1
335,1825,3.50887394,-0.7437340021,1
335,1857,1.833030581,-0.8210031986,1
335,1889,0.8444119692,-1.105784535,1
335,1921,0.3642250299,-3.720237017,1
335,1953,-0.02980804443,-1.90870738,1
335,1985,0.6326016784,-1.487265706,1
335,2017,1.028873682,-0.3515298367,1
367,33,-0.5402669907,2.603839159,1
367,65,2.090805054,-8.138749123,1
367,97,10.41846371,-19.44230461,1
367,129,1.681257367,-2.846410513,1
