 ,Area,Mean,Min,Max,Ch,Frame
502,16340.532,8.738,1,170,2,251
503,16340.532,8.478,3,159,1,252
504,16340.532,8.679,1,187,2,252
505,16340.532,8.437,3,172,1,253
506,16340.532,8.615,1,187,2,253
507,16340.532,8.442,3,163,1,254
508,16340.532,8.669,1,175,2,254
509,16340.532,8.470,3,178,1,255
510,16340.532,8.700,1,173,2,255
511,16340.532,8.401,3,182,1,256
512,16340.532,8.607,1,171,2,256
513,16340.532,8.447,3,157,1,257
514,16340.532,8.647,1,183,2,257
515,16340.532,8.417,3,172,1,258
516,16340.532,8.567,1,177,2,258
517,16340.532,8.425,3,174,1,259
518,16340.532,8.637,1,191,2,259
519,16340.532,8.456,3,168,1,260
520,16340.532,8.569,1,175,2,260
521,16340.532,8.420,3,161,1,261
522,16340.532,8.639,1,180,2,261
523,16340.532,8.418,3,151,1,262
524,16340.532,8.631,1,171,2,262
525,16340.532,8.425,3,163,1,263
526,16340.532,8.610,1,199,2,263
527,16340.532,8.434,3,154,1,264
528,16340.532,8.598,1,188,2,264
529,16340.532,8.411,3,171,1,265
530,16340.532,8.596,1,183,2,265
531,16340.532,8.382,3,181,1,266
532,16340.532,8.547,1,179,2,266
533,16340.532,8.410,3,152,1,267
534,16340.532,8.624,1,193,2,267
535,16340.532,8.354,3,134,1,268
536,16340.532,8.565,1,176,2,268
537,16340.532,8.315,3,138,1,269
538,16340.532,8.559,1,170,2,269
539,16340.532,8.402,3,163,1,270
540,16340.532,8.578,1,204,2,270
541,16340.532,8.402,3,157,1,271
542,16340.532,8.620,1,175,2,271
543,16340.532,8.425,3,157,1,272
544,16340.532,8.624,1,178,2,272
545,16340.532,8.349,3,143,1,273
546,16340.532,8.598,1,151,2,273
547,16340.532,8.371,3,146,1,274
548,16340.532,8.550,1,170,2,274
549,16340.532,8.365,3,132,1,275
550,16340.532,8.563,1,183,2,275
551,16340.532,8.328,3,135,1,276
552,16340.532,8.606,1,195,2,276
553,16340.532,8.400,3,156,1,277
554,16340.532,8.588,1,174,2,277
555,16340.532,8.385,3,130,1,278
556,16340.532,8.576,1,163,2,278
557,16340.532,8.376,3,163,1,279
558,16340.532,8.578,1,186,2,279
559,16340.532,8.362,3,149,1,280
560,16340.532,8.541,1,177,2,280
561,16340.532,8.335,3,159,1,281
562,16340.532,8.560,1,169,2,281
563,16340.532,8.347,3,134,1,282
564,16340.532,8.502,1,160,2,282
565,16340.532,8.350,3,139,1,283
566,16340.532,8.538,1,160,2,283
567,16340.532,8.370,3,152,1,284
568,16340.532,8.475,1,161,2,284
569,16340.532,8.283,3,142,1,285
570,16340.532,8.502,1,163,2,285
571,16340.532,8.322,3,141,1,286
572,16340.532,8.436,1,154,2,286
573,16340.532,8.310,3,137,1,287
574,16340.532,8.465,1,156,2,287
575,16340.532,8.273,3,150,1,288
576,16340.532,8.416,1,168,2,288
577,16340.532,8.332,3,151,1,289
578,16340.532,8.467,1,159,2,289
579,16340.532,8.302,3,156,1,290
580,16340.532,8.467,1,168,2,290
581,16340.532,8.281,3,130,1,291
582,16340.532,8.460,1,161,2,291
583,16340.532,8.281,3,151,1,292
584,16340.532,8.444,1,164,2,292
585,16340.532,8.287,3,140,1,293
586,16340.532,8.415,1,148,2,293
587,16340.532,8.285,3,169,1,294
588,16340.532,8.392,1,169,2,294
589,16340.532,8.295,3,140,1,295
590,16340.532,8.414,1,166,2,295
591,16340.532,8.326,3,155,1,296
592,16340.532,8.428,1,160,2,296
593,16340.532,8.270,3,151,1,297
594,16340.532,8.474,1,167,2,297
595,16340.532,8.300,3,149,1,298
596,16340.532,8.437,1,160,2,298
597,16340.532,8.295,3,151,1,299
598,16340.532,8.493,1,161,2,299
599,16340.532,8.306,3,147,1,300
600,16340.532,8.465,1,163,2,300
601,16340.532,8.265,3,141,1,301
602,16340.532,8.433,1,158,2,301
603,16340.532,8.276,3,162,1,302
604,16340.532,8.384,1,157,2,302
605,16340.532,8.272,3,172,1,303
606,16340.532,8.446,1,169,2,303
607,16340.532,8.265,3,156,1,304
608,16340.532,8.437,1,163,2,304
609,16340.532,8.293,3,150,1,305
610,16340.532,8.400,1,162,2,305
611,16340.532,8.296,3,162,1,306
612,16340.532,8.373,1,159,2,306
613,16340.532,8.214,3,143,1,307
614,16340.532,8.468,1,154,2,307
615,16340.532,8.261,3,146,1,308
616,16340.532,8.425,1,161,2,308
617,16340.532,8.218,3,148,1,309
618,16340.532,8.421,1,166,2,309
619,16340.532,8.257,3,166,1,310
620,16340.532,8.444,1,163,2,310
621,16340.532,8.223,3,147,1,311
622,16340.532,8.407,1,164,2,311
623,16340.532,8.257,3,148,1,312
624,16340.532,8.372,1,156,2,312
625,16340.532,8.236,3,137,1,313
626,16340.532,8.409,1,159,2,313
627,16340.532,8.228,3,136,1,314
628,16340.532,8.359,1,165,2,314
629,16340.532,8.253,3,140,1,315
630,16340.532,8.412,1,164,2,315
631,16340.532,8.239,3,137,1,316
632,16340.532,8.388,1,161,2,316
633,16340.532,8.265,3,156,1,317
634,16340.532,8.430,1,166,2,317
635,16340.532,8.223,3,139,1,318
636,16340.532,8.430,1,167,2,318
637,16340.532,8.300,3,137,1,319
638,16340.532,8.391,1,161,2,319
639,16340.532,8.233,3,134,1,320
640,16340.532,8.398,1,157,2,320
641,16340.532,8.216,3,139,1,321
642,16340.532,8.415,1,164,2,321
643,16340.532,8.254,3,137,1,322
644,16340.532,8.347,1,185,2,322
645,16340.532,8.225,3,130,1,323
646,16340.532,8.424,1,159,2,323
647,16340.532,8.206,3,130,1,324
648,16340.532,8.344,1,160,2,324
649,16340.532,8.219,3,132,1,325
650,16340.532,8.385,1,155,2,325
651,16340.532,8.202,3,124,1,326
652,16340.532,8.284,1,149,2,326
653,16340.532,8.173,3,135,1,327
654,16340.532,8.317,1,151,2,327
655,16340.532,8.149,3,119,1,328
656,16340.532,8.268,1,165,2,328
657,16340.532,8.172,3,131,1,329
658,16340.532,8.323,1,151,2,329
659,16340.532,8.223,3,146,1,330
660,16340.532,8.343,1,149,2,330
661,16340.532,8.209,3,131,1,331
662,16340.532,8.328,1,152,2,331
663,16340.532,8.151,3,127,1,332
664,16340.532,8.315,1,155,2,332
665,16340.532,8.185,3,125,1,333
666,16340.532,8.349,1,151,2,333
667,16340.532,8.160,3,125,1,334
668,16340.532,8.318,1,145,2,334
669,16340.532,8.171,3,120,1,335
670,16340.532,8.355,1,145,2,335
671,16340.532,8.163,3,133,1,336
672,16340.532,8.283,1,152,2,336
673,16340.532,8.188,3,136,1,337
674,16340.532,8.296,1,150,2,337
675,16340.532,8.161,3,132,1,338
676,16340.532,8.325,1,149,2,338
677,16340.532,8.176,3,129,1,339
678,16340.532,8.326,1,148,2,339
679,16340.532,8.177,3,135,1,340
680,16340.532,8.340,1,146,2,340
681,16340.532,8.136,3,148,1,341
682,16340.532,8.310,1,151,2,341
683,16340.532,8.138,3,145,1,342
684,16340.532,8.308,1,149,2,342
685,16340.532,8.133,3,147,1,343
686,16340.532,8.313,1,160,2,343
687,16340.532,8.102,3,140,1,344
688,16340.532,8.329,1,149,2,344
689,16340.532,8.159,3,133,1,345
690,16340.532,8.314,1,154,2,345
691,16340.532,8.126,3,143,1,346
692,16340.532,8.237,1,150,2,346
693,16340.532,8.109,3,128,1,347
694,16340.532,8.341,1,143,2,347
695,16340.532,8.099,3,122,1,348
696,16340.532,8.230,1,160,2,348
697,16340.532,8.110,3,138,1,349
698,16340.532,8.246,1,151,2,349
699,16340.532,8.072,3,139,1,350
700,16340.532,8.223,1,138,2,350
701,16340.532,8.128,3,149,1,351
702,16340.532,8.282,1,149,2,351
703,16340.532,8.137,3,143,1,352
704,16340.532,8.306,1,140,2,352
705,16340.532,8.079,3,137,1,353
706,16340.532,8.294,1,149,2,353
707,16340.532,8.128,3,138,1,354
708,16340.532,8.279,1,153,2,354
709,16340.532,8.086,3,139,1,355
710,16340.532,8.225,1,164,2,355
711,16340.532,8.008,3,133,1,356
712,16340.532,8.235,1,137,2,356
713,16340.532,8.035,3,129,1,357
714,16340.532,8.256,1,139,2,357
715,16340.532,8.076,3,133,1,358
716,16340.532,8.204,1,154,2,358
717,16340.532,8.044,3,127,1,359
718,16340.532,8.249,1,144,2,359
719,16340.532,8.090,3,148,1,360
720,16340.532,8.304,1,152,2,360
721,16340.532,8.056,3,143,1,361
722,16340.532,8.321,1,146,2,361
723,16340.532,8.007,3,131,1,362
724,16340.532,8.239,1,147,2,362
725,16340.532,8.090,3,134,1,363
726,16340.532,8.270,1,139,2,363
727,16340.532,8.032,3,123,1,364
728,16340.532,8.283,1,144,2,364
729,16340.532,8.094,3,151,1,365
