PIVlab, ASCII chart output - 07-Feb-2024
FRAME: 1, filenames: A:[1]MAX_TimeSrs025_TgUtrmcherry.avi & B:[2]MAX_TimeSrs025_TgUtrmcherry.avi, conversion factor xy (px -> m): 1, conversion factor uv (px/frame -> m/s): 1
x [px],y [px],u [px/frame],v [px/frame],Vector type [-]
303,1569,0.1320457458,-0.2990620136,1
303,1601,1.634878039,-2.403470039,1
303,1633,1.017711282,-0.1721395403,1
303,1665,0.853592813,-0.4971642494,1
303,1697,2.589742661,-2.90790844,1
303,1729,0.5648694038,0.01948826015,1
303,1761,0.6971040368,0.5858927369,1
303,1793,0.6921902895,-0.1726907641,1
303,1825,0.4481141865,-0.07805737853,1
303,1857,0.5743554831,0.5642300248,1
303,1889,0.4649713635,1.449764132,1
303,1921,-0.01077602804,1.752157927,1
303,1953,-0.2377707511,2.98692894,1
303,1985,-0.3131237924,3.561893225,1
303,2017,-0.1409339309,-1.927566767,1
335,33,-2.625259399,1.951509237,1
335,65,-1.154944897,-0.3145091534,1
335,97,-1.365066171,-0.6709701419,1
335,129,-2.631636381,-0.396396786,1
335,161,-3.747409105,1.015745282,1
335,193,-2.413998127,0.1517937779,1
335,225,-3.578708172,-0.7386476398,1
335,257,-3.471069336,-1.948591232,1
335,289,-3.253569365,-2.340458632,1
335,321,-2.588369846,-0.9938092232,1
335,353,-2.019625902,-1.35956645,1
335,385,-3.126349688,-3.678969145,1
335,417,-2.958100796,-3.49546361,1
335,449,-0.8160272837,-2.23601222,1
335,481,-0.5716148615,-3.007118225,1
335,513,-0.9490994811,-3.513118267,1
335,545,-1.099618077,-3.015724897,1
335,577,-0.9800879955,-2.43671155,1
335,609,-1.293354869,-1.779414296,1
335,641,-0.9347718954,-1.712129116,1
335,673,-0.6444461346,-0.584231019,1
335,705,-1.482887506,-0.4076763391,1
335,737,-0.07545545697,-0.3665922582,1
335,769,0.1793935299,-0.650418222,1
335,801,-0.2080805898,-0.4087635279,1
335,833,-0.716886878,-0.798853755,1
335,865,-0.8502533436,-2.286058187,1
335,897,-0.9218251705,-2.206174612,1
335,929,-1.090796471,-1.950103879,1
335,961,-0.8321398497,-2.068040371,1
335,993,-0.1544921398,-0.7852613926,1
335,1025,-0.6213353872,-1.42235899,1
335,1057,-1.280812502,-2.863948107,1
335,1089,-0.5362257957,-2.383816242,1
335,1121,0.161898464,-2.391284466,1
335,1153,0.2111250758,-1.594549179,1
335,1185,-0.02087664604,-1.447004199,1
335,1217,-2.842864275,7.384732723,1
335,1249,0.2101783454,0.8481252193,1
335,1281,0.8375706673,-0.2090538144,1
335,1313,0.162435025,-0.4193837643,1
335,1345,0.8299899697,-1.980042219,1
335,1377,1.382434726,-3.279835463,1
335,1409,0.5100413561,-2.259669542,1
335,1441,0.308411479,-3.20993185,1
335,1473,-0.005341529846,-0.7192034721,1
335,1505,1.561095357,-0.3589821458,1
335,1537,2.456941843,-0.1602712572,1
335,1569,0.8484789133,-0.1799301356,1
335,1601,0.2204326391,0.2227995992,1
335,1633,0.9521670938,0.4555731416,1
335,1665,1.109329939,-0.4734897017,1
335,1697,0.8720628619,-0.7762994766,1
335,1729,0.7520279884,-0.03227591515,1
335,1761,0.6663677096,-0.01812586188,1
