PIVlab, ASCII chart output - 20-Jul-2025
FRAME: 2, filenames: A:[2]MAX_TgKrt18GFPUtrmcherry_Control_TimeSeries01-1.avi & B:[3]MAX_TgKrt18GFPUtrmcherry_Control_TimeSeries01-1.avi, conversion factor xy (px -> m): 1, conversion factor uv (px/frame -> m/s): 1
x [px],y [px],u [px/frame],v [px/frame],Vector type [-]
356,259,-0.5556182265,-0.2798937559,1
356,275,NaN,NaN,2
356,291,NaN,NaN,2
356,307,NaN,NaN,2
356,323,0.5319352746,-0.8481010199,1
356,339,NaN,NaN,2
356,355,0.2293315232,-0.02732816339,1
356,371,0.7158569098,0.2822370529,1
356,387,1.459389806,0.08052111417,1
356,403,0.5680145621,-0.4155102968,1
372,19,0.6401813626,2.33344245,1
372,35,0.4269753098,2.588343859,1
372,51,0.3490259945,2.562769413,1
372,67,0.245100379,2.478911638,1
372,83,0.3110345006,2.185618162,1
372,99,0.7746468782,2.175774574,1
372,115,0.7035868168,2.043296099,1
372,131,0.6333281994,1.667494774,1
372,147,0.7606340051,1.479168892,1
372,163,0.7304548621,1.186528802,1
372,179,0.5771985054,1.0156883,1
372,195,0.3372521102,0.7399024367,1
372,211,-0.124060154,-0.4877726734,1
372,227,-0.4575833678,-0.5506447554,1
372,243,-1.543020725,0.004709124565,1
372,259,NaN,NaN,2
372,275,0.4258929789,-0.4911545813,1
372,291,-0.1048952043,-0.2311196923,1
372,307,-0.1396662593,-0.205858916,1
372,323,0.1722351611,-0.2391708046,1
372,339,0.02032952011,0.07939436287,1
372,355,0.1494082958,-0.04346725345,1
372,371,0.1221740544,0.03983671963,1
372,387,0.01049041748,-0.01287794113,1
372,403,-0.4191112518,-0.402991116,1
388,19,0.6746706963,2.69026804,1
388,35,0.3380555212,2.847149134,1
388,51,0.2271387279,2.709525347,1
388,67,0.06218849123,2.637917995,1
388,83,0.06634537876,2.28309536,1
388,99,0.3575921655,2.01786232,1
388,115,0.4126957655,2.024250269,1
388,131,0.4586061239,1.78804183,1
388,147,0.5934411287,1.826776028,1
388,163,0.8345445395,1.622612238,1
388,179,0.99991256,1.176190495,1
388,195,-0.6442647576,0.1043894291,1
388,211,-0.65323627,-0.219021216,1
388,227,-0.1619955003,-0.6214191914,1
388,243,NaN,NaN,2
388,259,0.1877186298,-0.7367109656,1
388,275,0.2621673942,-0.6668192744,1
388,291,-0.03031698242,-0.251693964,1
388,307,-0.2083480507,-0.2619388998,1
388,323,-0.08268797398,0.1685324013,1
388,339,-0.09291759133,0.4332831204,1
388,355,NaN,NaN,2
388,371,-0.9717069864,0.1348534375,1
388,387,-1.447486401,0.6067926288,1
388,403,-0.4207074642,-0.4929979444,1
404,19,0.6024128795,2.735417128,1
404,35,0.2430344224,2.689496517,1
404,51,0.2172239721,2.626257896,1
404,67,-0.001757740974,2.730548859,1
404,83,-0.02741912007,2.535211325,1
404,99,0.2011356205,2.202569485,1
404,115,0.3753027916,2.096477985,1
404,131,0.5666395426,2.098539591,1
404,147,0.5417206883,2.268549442,1
404,163,0.4024447501,2.080856323,1
404,179,-0.08607572317,1.000998974,1
404,195,-0.7108430862,-0.06002652645,1
