PIVlab, ASCII chart output - 23-Oct-2024
FRAME: 1, filenames: A:[1]AVI_Pos00d_TimeSrs0002_TgUtrmcherry_K4K8MO.avi & B:[2]AVI_Pos00d_TimeSrs0002_TgUtrmcherry_K4K8MO.avi, conversion factor xy (px -> m): 1, conversion factor uv (px/frame -> m/s): 1
x [px],y [px],u [px/frame],v [px/frame],Vector type [-]
335,673,22.94710922,43.86032104,1
335,705,23.95983124,41.7583046,1
335,737,NaN,NaN,2
335,769,NaN,NaN,2
335,801,NaN,NaN,2
335,833,36.69651031,43.67932892,1
335,865,NaN,NaN,2
335,897,38.60523224,42.04275513,1
335,929,NaN,NaN,2
335,961,40.62256241,44.89742661,1
335,993,42.53005981,41.4143219,1
335,1025,NaN,NaN,2
335,1057,NaN,NaN,2
335,1089,NaN,NaN,2
335,1121,NaN,NaN,2
335,1153,NaN,NaN,2
335,1185,NaN,NaN,2
335,1217,NaN,NaN,2
335,1249,NaN,NaN,2
335,1281,NaN,NaN,2
335,1313,NaN,NaN,2
335,1345,NaN,NaN,2
335,1377,NaN,NaN,2
335,1409,NaN,NaN,2
335,1441,NaN,NaN,2
335,1473,NaN,NaN,2
335,1505,NaN,NaN,2
335,1537,28.1381073,8.651954651,1
335,1569,NaN,NaN,2
335,1601,NaN,NaN,2
335,1633,NaN,NaN,2
335,1665,NaN,NaN,2
335,1697,NaN,NaN,2
335,1729,19.49852562,17.6348381,1
335,1761,NaN,NaN,2
335,1793,NaN,NaN,2
335,1825,NaN,NaN,2
335,1857,NaN,NaN,2
335,1889,NaN,NaN,2
335,1921,NaN,NaN,2
335,1953,NaN,NaN,2
335,1985,-0.3210338354,0.4652974904,1
335,2017,-1.226171255,-0.4610598087,1
367,33,NaN,NaN,2
367,65,NaN,NaN,2
367,97,NaN,NaN,2
367,129,NaN,NaN,2
367,161,NaN,NaN,2
367,193,NaN,NaN,2
367,225,NaN,NaN,2
367,257,-2.35629797,35.50642395,1
367,289,1.918769598,40.74471664,1
367,321,NaN,NaN,2
367,353,NaN,NaN,2
367,385,4.267742157,39.99242401,1
367,417,NaN,NaN,2
367,449,6.674729347,43.69709015,1
367,481,NaN,NaN,2
367,513,NaN,NaN,2
367,545,10.23188686,43.91288376,1
367,577,11.55669403,42.2551918,1
367,609,13.13702297,44.26821899,1
367,641,NaN,NaN,2
