PIVlab, ASCII chart output - 06-Feb-2024
FRAME: 1, filenames: A:[1]MAX_TgUtrmcherry_Control_TimSrs0020.avi & B:[2]MAX_TgUtrmcherry_Control_TimSrs0020.avi, conversion factor xy (px -> m): 1, conversion factor uv (px/frame -> m/s): 1
x [px],y [px],u [px/frame],v [px/frame],Vector type [-]
303,33,0.1920058727,2.236288548,1
303,65,-0.1251978576,0.2984779775,1
303,97,-0.09839427471,0.274926424,1
303,129,0.003198295832,0.02027964592,1
303,161,-0.3290600181,-0.03583931923,1
303,193,0.5739707947,1.645761728,1
303,225,-0.9536597729,-1.140627384,1
303,257,-6.212903023,-8.277938843,1
303,289,-7.847034454,-9.058176994,1
303,321,-8.717486382,-10.17545033,1
303,353,-10.21238136,-11.19268703,1
303,385,-12.25100899,-12.41738224,1
303,417,-13.67799377,-12.77631569,1
303,449,-15.01076698,-12.8430748,1
303,481,-15.97792625,-12.77115917,1
303,513,-16.57774162,-12.7461853,1
303,545,-17.27311897,-12.59031868,1
303,577,-17.61816406,-12.83172417,1
303,609,-18.29655266,-13.12955475,1
303,641,-18.87466812,-12.70119095,1
303,673,-19.82700348,-12.06668282,1
303,705,-21.48288727,-11.01131344,1
303,737,-22.35793114,-10.34849358,1
303,769,-23.59202576,-10.62212753,1
303,801,-23.55750847,-9.989648819,1
303,833,-22.6663475,-9.042011261,1
303,865,-22.64397049,-7.201622486,1
303,897,-22.01038361,-5.12376833,1
303,929,-21.94816399,-4.064925671,1
303,961,-22.16525841,-3.219969273,1
303,993,-22.70188332,-2.230554819,1
303,1025,-23.30371857,-1.382594228,1
303,1057,-23.83169174,-0.4920989871,1
303,1089,-23.99204636,0.3279845417,1
303,1121,-23.79218483,1.543790936,1
303,1153,-23.26926994,2.088615894,1
303,1185,-22.17606544,2.392329693,1
303,1217,-20.89102173,3.695374966,1
303,1249,-20.22047806,4.676700592,1
303,1281,-19.69039917,4.060090542,1
303,1313,-15.23783112,6.063140869,1
303,1345,-17.5289917,6.808485031,1
303,1377,-17.50884628,12.34960175,1
303,1409,-16.07629204,9.891524315,1
303,1441,-13.94671059,9.418174744,1
303,1473,-13.12049103,9.532104492,1
303,1505,-12.75024223,9.914028168,1
303,1537,-12.46082115,9.960684776,1
303,1569,-11.53109264,9.46837616,1
303,1601,-10.69537449,8.965023041,1
303,1633,-10.18622875,8.968729019,1
303,1665,-10.48893547,9.441030502,1
303,1697,-8.877840996,9.778495789,1
303,1729,-8.61841774,9.50513649,1
303,1761,-9.00302887,9.153576851,1
303,1793,-8.622987747,8.659187317,1
303,1825,-7.96652317,9.537211418,1
303,1857,-7.53452158,9.877108574,1
303,1889,-7.739987373,10.04903984,1
303,1921,-8.768407822,10.25516701,1
303,1953,-7.925890923,11.04794788,1
303,1985,-7.06101799,10.07901955,1
303,2017,-7.197817326,0.5535223484,1
335,33,-0.09510135651,-0.9080462456,1
335,65,0.1714499742,0.5415394902,1
335,97,0.9907250404,1.930392027,1
335,129,0.4220612049,0.3501278162,1
335,161,-4.503917694,-12.99168587,1
335,193,1.031203985,2.133322716,1
335,225,-5.958320141,-7.873186111,1
335,257,-7.313257217,-9.665827751,1
335,289,-8.632444382,-10.6323328,1
335,321,-9.900302887,-11.9814806,1
335,353,-11.78384113,-12.48865604,1
335,385,-13.446064,-13.49537468,1
335,417,-14.80270767,-14.25637054,1
335,449,-16.3378315,-14.63483429,1
335,481,-17.11671638,-14.22824287,1
335,513,-17.81838799,-13.78687477,1
335,545,-18.66075516,-13.84958076,1
335,577,-19.24679565,-14.26659775,1
335,609,-19.68321609,-14.74834919,1
335,641,-19.8237114,-14.13667202,1
335,673,-21.28289604,-13.51031494,1
335,705,-23.10974884,-12.87038612,1
335,737,-23.08165932,-12.62944984,1
335,769,-24.88244438,-10.18721676,1
335,801,-24.48064613,-10.63745499,1
335,833,-23.98653984,-10.29230118,1
335,865,-23.74464989,-8.976024628,1
335,897,-23.44384956,-6.269081593,1
335,929,-23.25484085,-4.574863911,1
335,961,-23.55318069,-3.670748234,1
335,993,-24.33728981,-2.658239126,1
335,1025,-24.79785728,-1.488111973,1
335,1057,-24.91210556,-0.9164298773,1
335,1089,-25.17825508,0.2427913547,1
335,1121,-25.25852776,1.245622873,1
335,1153,-24.3284893,2.11808157,1
335,1185,-23.00921822,2.46256876,1
335,1217,-22.43906975,2.844496012,1
335,1249,-22.75001717,5.021731853,1
335,1281,-23.44738197,7.024858475,1
335,1313,-31.24138641,17.06212234,1
335,1345,-19.11872673,8.994734764,1
335,1377,-17.44735146,7.709729195,1
335,1409,-15.62553406,10.04287434,1
335,1441,-14.35915947,10.52985668,1
335,1473,-12.89286995,10.72443962,1
335,1505,-11.54060173,10.50400543,1
335,1537,-12.13260651,10.25354767,1
335,1569,-11.46889973,10.24612141,1
335,1601,-10.49488354,9.825737953,1
335,1633,-9.710419655,10.2444191,1
335,1665,-10.21230984,10.64899254,1
335,1697,-9.776399612,10.90491486,1
335,1729,-8.999574661,10.64556503,1
335,1761,-8.809155464,10.95382786,1
335,1793,-8.246931076,11.02714729,1
335,1825,-6.99316597,11.02743149,1
335,1857,-7.28804493,10.65781879,1
335,1889,-7.203977585,10.76328468,1
335,1921,-6.829172134,10.90554428,1
335,1953,-7.950590611,9.826934814,1
335,1985,-7.337497711,11.89237022,1
335,2017,-26.32237816,-0.08502626419,1
367,33,-14.34731865,0.3436737061,1
367,65,0.03121103346,0.5235860348,1
367,97,0.4243177772,0.7778425217,1
367,129,0.4410531521,-1.214638948,1
367,161,-1.026453495,11.5056181,1
367,193,-5.908078194,-8.74420166,1
367,225,-7.058737278,-10.06830502,1
367,257,-7.419815063,-10.39304924,1
367,289,-8.729438782,-10.72857857,1
367,321,-10.9659586,-12.26605225,1
367,353,-13.00228691,-13.55586052,1
367,385,-14.73407841,-14.15929031,1
367,417,-16.24815559,-15.30273819,1
367,449,-17.20299721,-16.16929054,1
367,481,-17.93143463,-15.56443501,1
367,513,-18.97672272,-15.15076637,1
