PIVlab, ASCII chart output - 06-Feb-2024
FRAME: 1, filenames: A:[1]MAX_Pos0nd_TimeSrs022_TgKrt18GFP_Myptonecell.avi & B:[2]MAX_Pos0nd_TimeSrs022_TgKrt18GFP_Myptonecell.avi, conversion factor xy (px -> m): 1, conversion factor uv (px/frame -> m/s): 1
x [px],y [px],u [px/frame],v [px/frame],Vector type [-]
303,1569,1.114301682,7.617281914,1
303,1601,2.257587194,4.844871521,1
303,1633,3.204114676,6.194894791,1
303,1665,3.934764624,6.578400612,1
303,1697,3.892375469,6.980730534,1
303,1729,3.632315874,7.434785366,1
303,1761,2.848734856,7.061188698,1
303,1793,1.112798214,6.686141491,1
303,1825,1.464228868,7.060236931,1
303,1857,1.187159419,7.517045021,1
303,1889,0.3086322546,7.867333412,1
303,1921,0.6784814596,7.938079834,1
303,1953,0.7151491642,6.98734808,1
303,1985,0.665179491,4.465713024,1
303,2017,-15.2888813,-9.6563797,1
335,33,-5.26042366,2.991445065,1
335,65,-3.112973452,-2.827483177,1
335,97,-2.968656778,-1.972249627,1
335,129,-2.479758263,-2.291898489,1
335,161,-2.847490072,-3.128366947,1
335,193,-3.451705933,-1.521365523,1
335,225,-2.706683159,-1.784323335,1
335,257,-2.941757917,-3.377779484,1
335,289,-3.252963781,-2.658351421,1
335,321,-3.838888407,-2.271162033,1
335,353,-3.953152657,-1.615283966,1
335,385,-3.704603195,-2.079994202,1
335,417,-3.243213892,-2.634679317,1
335,449,-2.728187799,-2.699133873,1
335,481,-3.01321888,-2.956754684,1
335,513,-3.717325449,-3.142854214,1
335,545,6.772801399,8.539232254,1
335,577,-3.235502243,-4.858390331,1
335,609,-5.307456493,-5.105082035,1
335,641,-6.784188747,-5.437683105,1
335,673,-5.535400391,-7.571909904,1
335,705,-4.484340668,-8.807452202,1
335,737,-4.379413605,-6.28734827,1
335,769,-4.872565746,-4.503276825,1
335,801,-5.282146931,-3.853549957,1
335,833,-5.363171101,-2.966682673,1
335,865,-5.151456833,-2.315823078,1
335,897,-4.966881752,-2.243391037,1
335,929,-4.37582159,-1.364122629,1
335,961,-4.063179493,-0.4803088903,1
335,993,-4.273566246,-0.2187381387,1
335,1025,-3.561710358,0.2005363256,1
335,1057,-2.206383705,1.474231124,1
335,1089,-1.32387352,2.989311934,1
335,1121,-1.683588386,4.50560379,1
335,1153,-1.724556804,5.484408855,1
335,1185,-1.412516832,5.008833408,1
335,1217,-0.5189372301,4.155886173,1
335,1249,1.356361151,3.603881598,1
335,1281,3.228408813,3.960884094,1
335,1313,3.094916821,4.425408363,1
335,1345,2.856281042,5.236395359,1
335,1377,2.922204494,5.695961475,1
335,1409,2.796709776,5.245193005,1
335,1441,3.603414774,5.514708042,1
335,1473,3.810567856,5.515511513,1
335,1505,4.342933655,3.276990414,1
335,1537,3.49693203,6.538198948,1
335,1569,2.99053359,6.71431303,1
335,1601,3.776010036,6.79655695,1
335,1633,4.141157627,7.255187035,1
335,1665,4.453623295,8.235554695,1
335,1697,4.499876976,9.467457771,1
335,1729,4.511976242,8.332024574,1
335,1761,3.565868855,7.170778751,1
335,1793,0.7427690029,4.82830143,1
335,1825,1.874856234,6.205606461,1
335,1857,2.299305439,7.139044285,1
335,1889,1.874978423,7.471825123,1
335,1921,1.050197482,7.657896519,1
335,1953,1.284063101,6.675434113,1
335,1985,2.333527327,4.702898026,1
335,2017,24.88338089,-8.629836082,1
367,33,-2.501224995,2.565571785,1
367,65,-3.037859917,-0.4636026323,1
367,97,-3.054198503,-1.249462008,1
367,129,-0.2711467743,-1.767481923,1
367,161,-3.833154678,-2.689583302,1
367,193,-3.742856741,-1.894317865,1
367,225,-2.369187117,-1.349108458,1
367,257,-2.983868837,-3.024892092,1
367,289,-3.548064947,-2.444677353,1
367,321,-3.989903212,-2.284650326,1
367,353,-4.013710022,-1.874646187,1
367,385,-4.100728512,-2.315636635,1
367,417,-4.014870644,-3.02149868,1
367,449,-3.651464701,-3.181033611,1
367,481,-3.86686945,-3.272987604,1
