PIVlab, ASCII chart output - 20-Jul-2025
FRAME: 1, filenames: A:[1]MAX_TgKrt18GFPUtrmcherry_Control_TimeSeries01.avi & B:[2]MAX_TgKrt18GFPUtrmcherry_Control_TimeSeries01.avi, conversion factor xy (px -> m): 1, conversion factor uv (px/frame -> m/s): 1
x [px],y [px],u [px/frame],v [px/frame],Vector type [-]
388,323,2.245025635,-1.886784196,1
388,339,1.452353835,-1.60617125,1
388,355,1.701191425,-1.493139744,1
388,371,1.904113173,-1.382883906,1
388,387,2.10382843,-1.380545139,1
388,403,2.803369761,-1.561513782,1
404,19,1.22896409,1.149109602,1
404,35,1.56824398,0.6759567857,1
404,51,1.761869192,0.1101313531,1
404,67,1.57386899,0.6390606761,1
404,83,1.893446565,0.7777725458,1
404,99,1.565560341,0.2446924448,1
404,115,1.623335838,-0.295556128,1
404,131,1.890108585,-0.6198558807,1
404,147,2.054956913,-1.350724101,1
404,163,2.242176294,-1.520454049,1
404,179,NaN,NaN,2
404,195,1.805431128,-1.618857741,1
404,211,1.788825512,-2.122570992,1
404,227,1.741253138,-2.742862225,1
404,243,1.32804215,-2.897959948,1
404,259,1.608204842,-2.75382781,1
404,275,2.151537895,-2.386840343,1
404,291,2.482531071,-2.130953312,1
404,307,2.373270512,-2.136476994,1
404,323,1.668126822,-2.269284725,1
404,339,1.294557691,-1.985454917,1
404,355,1.470027089,-1.330425978,1
404,371,1.304586887,-1.313642263,1
404,387,2.093616486,-1.016492844,1
404,403,3.131917477,-0.6757804751,1
420,19,1.177967668,0.8124970198,1
420,35,1.698793292,0.3128638864,1
420,51,1.97991991,-0.172962606,1
420,67,1.646766782,0.2511244118,1
420,83,1.741703629,0.8456975222,1
420,99,1.371362329,0.1416597664,1
420,115,NaN,NaN,2
420,131,1.401679516,-1.279405594,1
420,147,1.885666728,-1.87591064,1
420,163,NaN,NaN,2
420,179,1.945411086,-1.254385114,1
420,195,1.593601346,-1.711809635,1
420,211,1.364343524,-2.845640421,1
420,227,1.48832202,-3.209244728,1
420,243,1.330921173,-2.731194496,1
420,259,1.712906361,-2.670588255,1
420,275,1.893315554,-1.992584944,1
420,291,1.759608984,-1.87159729,1
420,307,1.862407804,-2.03057909,1
420,323,1.577386737,-2.109898806,1
420,339,1.635811687,-2.413215637,1
420,355,1.653232336,-1.843305111,1
420,371,1.517810225,-1.369222164,1
420,387,2.340094566,-0.5238361359,1
420,403,2.645133495,-0.6988610625,1
436,19,1.275709867,0.8022499084,1
436,35,1.507802129,0.5610637665,1
436,51,1.214269757,0.6445273161,1
436,67,0.9200948477,0.4506873488,1
436,83,1.007793903,0.4054378867,1
436,99,0.750094533,-0.09702909738,1
436,115,1.169040799,-0.7936651111,1
436,131,1.529972553,-1.31763339,1
436,147,1.181388974,-1.496428847,1
436,163,0.8394515514,-1.67821753,1
436,179,1.190688968,-1.702355742,1
436,195,1.532114267,-1.707467914,1
436,211,1.729311943,-2.630753279,1
436,227,1.439317465,-3.289814711,1
436,243,1.519104719,-2.508902788,1
436,259,1.858254433,-2.734538078,1
436,275,1.824069262,-2.284547806,1
436,291,1.658216119,-2.222573996,1
436,307,1.97564137,-2.386391163,1
436,323,2.18128252,-2.273895025,1
436,339,2.01372385,-2.147402763,1
436,355,1.527301073,-1.728958607,1
436,371,1.370619774,-1.564736605,1
436,387,1.979162574,-0.5752265453,1
436,403,2.223132849,-0.8764061928,1
452,19,1.661232948,0.7387305498,1
452,35,1.761812329,0.6259700656,1
452,51,1.251049519,1.014482021,1
452,67,1.123923659,1.157317996,1
452,83,1.554271936,0.9493471384,1
452,99,1.046199918,0.2327420413,1
