PIVlab, ASCII chart output - 12-Feb-2024
FRAME: 40, filenames: A:[40]MAX_TgUtrmcherry_K4K8MO_TimeSrs002728.avi & B:[41]MAX_TgUtrmcherry_K4K8MO_TimeSrs002728.avi, conversion factor xy (px -> m): 1, conversion factor uv (px/frame -> m/s): 1
x [px],y [px],u [px/frame],v [px/frame],Vector type [-]
303,97,-0.3905438185,0.1192895547,1
303,129,-0.05620646477,-0.02099505067,1
303,161,0.04393462092,-0.1039242893,1
303,193,-0.1222454906,-0.206715256,1
303,225,0.05521526188,-0.2189972401,1
303,257,0.07553054392,-0.08094024658,1
303,289,0.1000065058,0.05857472867,1
303,321,0.1103546023,0.1850381941,1
303,353,0.6504196525,0.1575115025,1
303,385,1.230851889,-0.3389787376,1
303,417,1.334660769,0.04373204708,1
303,449,1.326817513,0.05032220483,1
303,481,0.8560836315,-0.5000785589,1
303,513,0.871900022,-0.3922448158,1
303,545,1.511174679,-0.3294159174,1
303,577,2.105386257,-2.010155439,1
303,609,2.201467037,-2.62889576,1
303,641,2.728074551,-2.378652096,1
303,673,2.64627552,-1.893559694,1
303,705,2.430429697,-1.357883692,1
303,737,3.338206768,-1.538568735,1
303,769,1.472860098,-2.811953545,1
303,801,0.7387194037,-0.4427067041,1
303,833,0.32008937,-0.5632445812,1
303,865,-0.2794222236,-0.8614048958,1
303,897,-0.0546188876,-0.8020670414,1
303,929,-0.3258626461,-0.8830037713,1
303,961,-0.574028492,-0.7647251487,1
303,993,-0.5859036446,-0.7979366779,1
303,1025,-0.5217943788,-2.765541792,1
303,1057,-0.05145689845,-1.713211536,1
303,1089,0.5628495216,-1.527827144,1
303,1121,0.266993314,-0.8790912628,1
303,1153,-0.1517908871,-1.101994991,1
303,1185,-0.09858387709,-0.8637429476,1
303,1217,0.1306252629,-0.06134268641,1
303,1249,0.1764775366,0.2695420384,1
303,1281,0.2409891486,0.1473773122,1
303,1313,-0.4454649687,0.5595308542,1
303,1345,-0.3668381274,0.5672928095,1
303,1377,0.3803883791,-0.07516796142,1
303,1409,-0.4539462924,-0.4164864123,1
303,1441,-0.7996052504,0.004976972938,1
303,1473,-1.393106461,0.6048973203,1
303,1505,-0.8169403076,-0.5872169733,1
303,1537,-0.1429438293,-0.3187809587,1
303,1569,0.772749424,-0.3000618815,1
303,1601,-0.7536754608,-0.2211469412,1
303,1633,-1.395751119,-0.2717275918,1
303,1665,-2.560702324,-0.2190594077,1
303,1697,-2.171334505,-0.03132753074,1
303,1729,-1.100313425,-0.4355854392,1
303,1761,-0.4599331617,0.07171726227,1
303,1793,-0.1248959005,0.5476112366,1
303,1825,0.04177257419,-0.6170456409,1
303,1857,0.1028885841,-2.266586781,1
303,1889,-0.786493659,-2.114261627,1
303,1921,-0.1074050665,-1.054646254,1
303,1953,0.2227214873,-0.6960269213,1
303,1985,0.2014157474,-0.4714835882,1
303,2017,0.3092625141,-0.3234264851,1
335,33,-0.06210067868,-0.01051813364,1
335,65,-0.2703567147,0.02676656842,1
335,97,-0.1831775755,-0.327224344,1
335,129,0.146884799,-0.2601447999,1
335,161,0.09103031456,-0.1410643756,1
335,193,0.0276153069,-0.116403982,1
335,225,0.06244663149,-0.2008721381,1
335,257,-0.004049830139,-0.155460149,1
335,289,0.1282054037,0.3043167591,1
335,321,0.2965445518,0.2536069155,1
335,353,1.074651957,0.1493360549,1
335,385,2.11022377,0.6785448194,1
335,417,2.56110096,0.6223761439,1
335,449,1.825668335,0.3399500251,1
335,481,0.1188461185,-0.6804214716,1
335,513,0.05175679922,-1.001813531,1
335,545,0.5777921677,-1.0111413,1
335,577,0.5088053942,-1.019366145,1
335,609,2.093901157,-1.496528625,1
335,641,3.393838406,-1.15043211,1
335,673,4.204332352,-0.9114066362,1
335,705,1.69310379,-1.451689482,1
335,737,0.9053682089,-1.842383385,1
335,769,1.268568277,-2.75808692,1
335,801,1.518458843,-0.7941970825,1
335,833,0.6057413816,-0.505838871,1
335,865,0.4456405342,-1.226668715,1
335,897,0.7649514079,-1.379560947,1
335,929,-0.1908978373,-1.05688262,1
335,961,-0.4203645587,-0.4522422552,1
335,993,-0.6923490763,-0.4231060743,1
335,1025,-0.3092932701,-0.982740283,1
335,1057,0.01234304905,-0.5461150408,1
335,1089,-0.3889248371,-1.559622407,1
335,1121,-0.1709449291,-1.19825983,1
335,1153,-0.3665318489,-0.8600745797,1
335,1185,-0.02490320802,-0.5592865944,1
335,1217,0.355640769,0.01802903414,1
335,1249,0.3628109694,0.08443553746,1
335,1281,-0.006556928158,0.3272020221,1
335,1313,-0.4785152078,1.2744205,1
335,1345,-0.2331089079,0.9093538523,1
335,1377,0.3069288135,-0.1549984515,1
335,1409,-0.2462350726,-0.05602994561,1
335,1441,-0.1187312603,0.3211548924,1
